courseId|name|point
7385|외식산업경영론|3.0
9123|HRT프랜차이즈기업사례연구|3.0
9400|호텔외식경영실무6|3.0
10428|커피학개론|3.0
11486|빅데이터마이닝&시각화|3.0
9136|HRT창업프로젝트|3.0
9402|호텔외식경영실무8|3.0
9386|호텔외식비즈니스의이해|3.0
10857|호텔외식조리경영실무2|3.0
11456|사회조사연구방법론|3.0
11848|기초경제학|3.0
9406|호텔외식인적자원관리|3.0
10859|호텔외식조리경영실무4|3.0
11482|급식경영론|3.0
11541|호텔외식서비스운영관리|3.0
11813|식품안전경영시스템(FSMS)|3.0
9385|호텔기업경영론|3.0
9387|호텔외식원가관리|3.0
10846|Patissier실습|3.0
10861|호텔외식조리경영실무6|3.0
6702|외식상품개발론|3.0
9404|프랜차이즈기업사례연구|3.0
10863|호텔외식조리경영실무8|3.0
9233|바리스타및음료실습|3.0
11850|사회조사분석론|3.0
11539|식음료서비스경영론|3.0
10847|퐁과소스실습|3.0
10873|레스토랑경영과창업|3.0
10867|글로벌퀴진인더키친|3.0
10870|글로벌조리캡스톤디자인|3.0
10877|HMR상품기획|3.0
501329|페스티벌이벤트경영|3.0
11631|기초통계학|3.0
1728|선형대수학2|3.0
11273|계산수학1|3.0
3971|확률론|3.0
5597|미분방정식|3.0
6596|해석학개론2|3.0
1503|비모수통계학|3.0
4030|회귀분석2|3.0
4311|수리통계학2|3.0
5599|현대대수학2|3.0
5895|복소수해석학|3.0
10881|딥러닝|3.0
3339|통계자료분석|3.0
4585|수학사|3.0
11432|기초천문학|3.0
2974|전자기학1|3.0
6651|은하천문학|3.0
1778|수리물리2|3.0
2098|역학2|3.0
6467|기초천문관측및실습|3.0
8571|전자학실험|3.0
9702|계산과학|3.0
2037|양자역학2|3.0
2116|열물리학|3.0
6750|천체분광학개론|3.0
9820|천문관측및실습(종합설계)|3.0
10885|나노소자의이해|3.0
284|고체물리학2|3.0
7636|성간물질|3.0
9139|반도체소자물리학|3.0
9703|중력과상대론|3.0
10887|핵및입자물리학|3.0
2712|일반화학2|3.0
2358|유기화학2|3.0
6367|응용분석화학|3.0
1281|물리화학1|3.0
2365|유기화학실험|3.0
6748|단백질생화학|3.0
264|고분자화학|3.0
4460|무기화학실험|3.0
4588|생유기화학|3.0
8240|화학교과교재연구및지도법|3.0
8325|화학논리및논술|3.0
1615|생활속의화학|3.0
5194|생물리화학|3.0
8591|고등분석화학|3.0
9708|기초생물통계학|3.0
6936|일반생물학2|3.0
4462|생화학|3.0
4835|식품미생물학|3.0
2189|영양화학|3.0
9329|식품가공기초|3.0
4107|식품화학2및실험|3.0
7470|식품생물공학|3.0
9830|식품개발및실험(종합설계)|3.0
10197|식품분자생물학및실험|3.0
10198|식품공정학및실험|3.0
11466|AI푸드테크|3.0
P00044|현장실습8|6.0
10201|발효생명공학|3.0
10203|최신식품생명동향연구|3.0
1606|생화학2및실험|3.0
1468|분석화학|3.0
5213|기기분석학|3.0
7000|면역학1|3.0
9667|기초유전공학|3.0
5143|분자생물학2|3.0
5900|신경생물학|3.0
6321|바이러스학|3.0
9324|암생물학|3.0
9680|나노생명공학|3.0
9842|시스템면역학및실험|3.0
11945|AI기반세포유전자치료|3.0
5623|분자유전학|3.0
7002|생물공정학|3.0
9165|스트레스생물학|3.0
9841|분자병리학|3.0
10892|생명공학종합설계|3.0
5100|식물학|3.0
8987|바이오자원공학|3.0
9706|일반생화학|3.0
9857|분자생물학및실험|3.0
6116|식물유전공학및실험|3.0
9688|식물육종학및실험|3.0
5607|식물발달생물학|3.0
8977|채소학|3.0
9671|바이오폴리머공학|3.0
9683|식물세포생물학|3.0
11899|AI활용대량생물정보분석|3.0
6115|환경생물학|3.0
9675|식물기능유전체학|3.0
9676|항체공학|3.0
11129|곤충생리학|3.0
4751|미생물학및실험|3.0
11131|분자세포생물학및실험2|3.0
11136|수산동물양식학및실습|3.0
11142|스마트팜기획및설계|3.0
11126|융합학문위한분석화학|3.0
11947|기능성식물유전체학|3.0
11980|스마트생명자원캡스톤디자인|3.0
3284|컴퓨터네트워크|3.0
4829|광전자공학|3.0
6132|영상처리|3.0
6294|음성처리|3.0
8086|디지털통신시스템|3.0
4596|반도체공학|3.0
6139|임베디드시스템|3.0
6559|정보이론|3.0
6935|정보시스템설계|3.0
7720|디스플레이공학|3.0
7721|반도체소자설계|3.0
7722|전자회로2|3.0
9659|전자기2|3.0
P00037|현장실습1|3.0
P00046|현장실습10|9.0
4102|수치해석|3.0
4830|디지털제어|3.0
7284|광통신시스템|3.0
7463|차세대이동통신|3.0
8079|광반도체및LED공학|3.0
9664|전자정보통신공학특강B|3.0
9948|캡스톤디자인B|3.0
10228|반도체공정|3.0
11363|반도체CAD실험|3.0
11384|반도체소자제작및실습2|3.0
11875|AI반도체설계|3.0
11876|AI반도체소자물리|3.0
11940|AI기반공정자동화|3.0
1769|소프트웨어공학|3.0
2505|인공지능|3.0
4599|통신시스템|3.0
4600|디지털신호처리|3.0
6324|XML프로그래밍|3.0
8636|멀티코어프로그래밍|3.0
11923|최신기술콜로키움2|1.0
12000|리눅스프로그래밍및실습|3.0
P00043|현장실습7|6.0
9960|Capstone디자인(산학협력프로젝트)|6.0
6208|가상현실|3.0
11771|K-MOOC:생성형인공지능입문|3.0
11926|최신기술콜로키움4|1.0
9989|시스템해킹과보안|3.0
11972|정보보호심화연구|3.0
12007|AI기반시스템프로그래밍|3.0
8663|보안정책과법규|3.0
10447|정보보호특강|3.0
3281|컴퓨터그래픽스|3.0
5910|데이터베이스프로그래밍|3.0
11175|음성오디오처리|3.0
11912|연구실인턴쉽2|3.0
P00038|현장실습2|3.0
10001|증강현실|3.0
9957|오픈소스SW개론|3.0
10143|데이터시각화|3.0
10145|데이터문제해결및실습1|3.0
11176|대용량데이터처리|3.0
9967|특허와창업|3.0
10146|데이터문제해결및실습2|3.0
10570|고급기계학습|3.0
10239|머신비전시스템|3.0
1878|시스템프로그래밍|3.0
5905|디지털통신|3.0
6486|로보틱스|3.0
10230|사물인터넷|3.0
11402|자율이동체개론및실습|3.0
11909|스마트UX&UI디자인2|3.0
706|그래픽디자인2|3.0
10330|프로덕트&모빌리티디자인2|3.0
10334|스마트프로덕트디자인2|3.0
10337|디지털미디어디자인|3.0
12034|AI디자인방법론|3.0
5764|졸업작품(P/NP)|0.0
5920|아이덴티티디자인2|3.0
6754|제품시스템디자인2|3.0
9215|제품및운송기기디자인4|3.0
10344|디지털미디어프로젝트2|3.0
12036|AI활용UX디자인|3.0
10673|디지털코믹스제작2|3.0
11192|비주얼디벨롭먼트2|3.0
10671|디지털애니메이션디렉팅2|3.0
10672|이펙트디자인2|3.0
11188|애니메이션워크숍2|3.0
11190|3D제작도구고급2|3.0
10299|애니메이션코어스튜디오2|3.0
10301|웹툰커넥션프로덕션2|3.0
10670|코믹스캡스톤디자인|3.0
11263|파이썬기반딥러닝|3.0
6566|지능형시스템|3.0
9665|패턴인식|3.0
11264|인공지능보안|3.0
11265|AR/VR /MR|3.0
11271|Human–AI Interaction|3.0
4111|물리전자공학|3.0
5246|신호및시스템|3.0
7620|기초설계|3.0
3276|컴퓨터구조론|3.0
9658|전기회로실험|3.0
11680|객체지향프로그래밍|3.0
304|공업수학1|3.0
1725|선형대수|3.0
9913|고급C프로그래밍및실습|3.0
11350|반도체특화연구및실험1|3.0
3278|컴퓨터구조|3.0
6314|박막공학|3.0
7453|전자회로1|3.0
11259|기계학습개론|3.0
11353|회로이론및실습|3.0
9912|C프로그래밍및실습|3.0
9954|알고리즘및실습|3.0
9955|이산수학및프로그래밍|3.0
9956|문제해결및실습:JAVA|3.0
11200|K-MOOC:멀티미디어|3.0
11251|K-MOOC:모두를위한머신러닝|3.0
9174|어셈블리어|3.0
2998|정수론|3.0
9176|고급컴퓨터네트워크|3.0
9518|대칭키암호론|3.0
9993|SW설계기초(산학프로젝트입문)|3.0
11497|기계학습실습|3.0
11499|인공지능수학|3.0
4118|디지털시스템|3.0
6237|웹프로그래밍|3.0
10226|동적시스템모델링|3.0
11495|알고리즘및실습|3.0
11646|메커니즘설계|3.0
5253|만화기초2|3.0
8786|애니메이션기초2|3.0
10560|창의SW융합노마드|3.0
10309|프로덕트디자인1|3.0
10311|비주얼커뮤니케이션디자인1|3.0
8499|타입&이미지|2.0
6328|디자인재료및성형기법|3.0
7860|인터렉티브디자인|2.0
10327|기초3D그래픽스|3.0
10328|프로덕트조형스튜디오|3.0
8791|콘텐츠기획2|3.0
8429|디지털스토리텔링|3.0
8793|만화제작2|3.0
10282|애니메이션액팅2|3.0
10579|3D제작도구2|3.0
11186|프리비즈워크숍2|3.0
11901|지능사물인터넷개론|3.0
12091|사물기계학습|3.0
11990|지능IoT플랫폼|3.0
12027|사물강화학습|3.0
11956|사물연동디지털트윈|3.0
12093|첨단분야취업전략및준비|3.0
307|공업수학2|3.0
4274|구조역학1|3.0
6307|건축설비개론|3.0
11278|건축디지털설계|3.0
11279|창의공학설계|3.0
4434|건축재료|3.0
4608|건축법규|3.0
6610|건축시공|3.0
9186|특수구조개론|3.0
8179|공학설계B|3.0
4849|컴퓨터구조해석|3.0
8181|건설IT|3.0
9810|스마트구조개론|3.0
7037|스튜디오8|6.0
11111|졸업작품|0.0
11965|인공지능과건축환경|3.0
4275|서양건축사|3.0
6309|스튜디오2|6.0
9811|건축구조개론|3.0
6661|건축디지털디자인2|3.0
4706|건축설비|3.0
6608|스튜디오4|6.0
6662|도시설계|3.0
7594|재료와디테일|3.0
10462|건축경제학|3.0
4703|건설경영|3.0
6763|스튜디오6|6.0
11281|한국건축사|3.0
6762|인테리어|3.0
4326|응용역학및연습2|3.0
10614|토질역학|3.0
8644|건설수치해석|3.0
10269|수리학|3.0
4707|기초공학|3.0
10594|건설경영관리|3.0
10595|콘크리트구조설계|3.0
10596|물재생자원순환|3.0
10597|합성구조설계|3.0
11422|도시수문학|3.0
11423|스마트시티프로젝트(종합설계)|3.0
4708|교량공학|3.0
10599|첨단계측공학|3.0
10600|건설재료시험|3.0
7799|폐기물관리|3.0
11382|환경데이터처리|3.0
9818|환경원격탐사|3.0
9624|온실가스관리및분석|3.0
9816|상수처리및수질분석실험|3.0
11433|환경생물기초|3.0
8169|종합설계|3.0
7168|환경영향평가|3.0
9636|환경에너지공간세미나|3.0
5234|내연기관|3.0
5913|공기조화및냉동|3.0
6993|최적설계|3.0
7621|전산열유체역학|3.0
10911|종합설계B|3.0
4862|열전달|3.0
6887|유도제어시스템설계|3.0
9836|종합설계2|3.0
11349|항공우주AI응용|3.0
4281|유기화학|3.0
3790|현대물리|3.0
5648|재료열역학2|3.0
6152|전자기학|3.0
6782|신소재과학2|3.0
7458|재료의전자기적물성|3.0
6996|재료의기계적성질|3.0
10080|반도체와고분자화학기초설계및실험|3.0
6147|반도체제조공학|3.0
7159|고분자물리|3.0
7579|신금속재료|3.0
8105|화학기기분석|3.0
6148|전자세라믹스재료|3.0
6786|금속공정학|3.0
7273|나노재료응용|3.0
7580|세라믹스공정학|3.0
10082|나노신소재창의연구2(종합설계)|3.0
4510|고체역학|3.0
4642|동역학|3.0
